year,stusps,fips,pop_tot,violent_arrest_per1000,pop_pct_pov
2016,CO,831,663303,6.98530686579135,16.39761036838362
2016,CO,839,24225,0.374692387076288,5.069755854509218
2016,CO,841,665171,0.9697196837575689,11.282972157274235
2016,CO,845,57495,1.0880173155153587,11.099513489606368
2016,CO,847,5708,3.956435412286848,7.0809249
2016,CO,851,15889,2.2657184215494994,15.371867957046268
2016,CO,853,856,1.1682242990654206,11.214953271028035
2016,CO,859,558810,0.7410837315008679,8.1201806
2016,CO,865,7401,6.401162005134442,11.523087525844247
2016,CO,867,53994,1.1174081070736255,10.710027308742644
2016,CO,869,325228,1.3746999307898125,13.169463543610407
2016,CO,873,5515,1.186845792466826,17.00854700854701
2016,CO,877,148166,1.9656202856127265,16.332299016592835
2016,CO,879,793,2.837326607818411,8.1967213
2016,CO,883,26006,2.4801968776436207,18.698744607252515
2016,CO,885,40866,3.1199530171780943,18.032705649157585
2016,CO,887,28288,2.012463639301875,10.731356693620844
2016,CO,891,4651,2.2575790152655344,9.1535645
2016,CO,893,16440,3.023983315954119,6.2757138
2016,CO,895,4347,2.2045855379188715,11.89252336448598
2016,CO,897,17543,1.706521119534857,8.6400642
2016,CO,899,12121,2.0419107334378355,20.593486948388744
2016,CO,8101,162158,4.64361918622578,20.22053930732913
2016,CO,8103,6658,2.277961349754681,12.442760145270803
2016,CO,8105,11623,1.6174825776477675,19.176148893005205
2016,CO,8109,6255,3.677058353317346,22.62363519588953
2016,CO,8111,552,8.605072463768115,3.8043478
2016,CO,8117,29269,1.6194608630291434,12.079432040333367
2016,CO,8119,23472,2.29706316746194,7.5348357
2016,CT,97,164438,3.2773967782907323,7.0326784
2016,CT,911,272033,0.932975043468991,9.8645998
2016,DE,105,211224,0.27662839239648696,12.886932991800318
2016,DC,111,659009,16.734217590351573,17.930919715691076
2016,FL,123,27312,9.885764499121265,18.515333906563487
2016,FL,125,178361,2.2127408271240165,15.576364774861956
2016,FL,127,26919,4.977896652921728,19.330902306648575
2016,FL,129,560683,1.178441548713164,13.961820088401819
2016,FL,1211,1863780,0.49250269166246374,14.366231475519822
2016,FL,1213,14550,2.442986566697907,13.088709677419356
2016,FL,1215,169642,4.392337982339279,12.37242128121607
2016,FL,1217,140453,11.651584515816678,17.723256101014353
2016,FL,1219,200346,4.227686103041738,10.191669645509332
2016,FL,1221,348236,2.768955535900941,13.16388786543388
2016,FL,1223,68198,9.4834159359512,19.359179344298628
2016,FL,1227,35134,8.638356008424887,29.91195271981667
2016,FL,1229,16084,6.194043770206417,21.521528450782224
2016,FL,1233,309574,6.349249290961127,14.719761569666362
2016,FL,1235,102917,3.2841998892311284,13.207732409161865
