fips,exp_police,pop_tot,ft_sworn,rev_prop_tax,violent.crimes,dissim_bw,dissim_wl
06087,98693430.00000001,270931,61.5,212288610.00000003,423.5,24.17,55.36
06095,192518400.00000003,429596,64.57142857142857,332213010,560.9142857142857,41.54,29.15
06097,182123250.00000003,497776,66,430139430.00000006,372.65,30.66,34.81
06101,24802950,95406,85,54634200.00000001,574.625,26.39,24.61
06107,112612830.00000001,455769,88.3,206280180.00000003,513.125,32.32,37.53
06113,65127030.00000001,209671,55.333333333333336,150968880,325.125,54.45,38.85
06115,19910070.000000004,73897,31,25835250.000000004,251,26.39,24.61
08001,117657780.00000001,479977,120.625,187812000.00000003,539.71875,59.37,48.78
08014,17594610,62449,105,42847110,198.5,59.37,48.78
08019,6039510,9238,14.076923076923077,26274810,38.30769230769231,59.37,48.78
08031,249980880.00000003,663303,775.5,397415520,4633.375,59.37,48.78
08039,2099010,24225,11.23076923076923,7136190.000000001,9.076923076923077,59.37,48.78
08041,167444610.00000003,665171,144.02941176470588,87981930.00000001,645.0294117647059,37.22,30.26
08047,6790980.000000001,5708,18.666666666666668,4753020,22.583333333333332,59.37,48.78
08059,185537610.00000003,558810,186.3,237902970.00000003,414.125,59.37,48.78
08069,76028340.00000001,325228,76.63636363636364,146142600,447.0909090909091,22.24,21.51
08077,75333480.00000001,148166,44.61904761904762,51915810.00000001,291.23809523809524,21.23,23.07
08093,3368850.0000000005,16440,21.857142857142858,9732480.000000002,49.714285714285715,59.37,48.78
08101,41797050,162158,140.66666666666666,69242910,753,30.99,29.81
08119,7361520,23472,33.666666666666664,11401920.000000002,53.916666666666664,37.22,30.26
09007,30931260.000000004,164438,203.28571428571428,475233180.00000006,538.9285714285714,62.32,58.36
09011,66072750,272033,40.5,615841320.0000001,253.8,48.92,45.59
11001,625776930,659009,2092,2084300280.0000002,11028,64.13,48.15
12003,5556660.000000001,27312,42,7412580.000000001,270,52.06,27.59
12005,67862070,178361,46.55555555555556,83256660,394.6666666666667,43.7,19.32
12009,161505000,560683,83.85714285714286,317590980.00000006,660.7321428571429,45.24,24.96
12011,1145359050,1863780,233.11111111111111,1472436090,917.9166666666666,57.58,33.19
12015,68972070,169642,160,127655550.00000001,745.125,43.66,26.19
12019,50937900,200346,108.33333333333334,71014470,847,52.06,27.59
12021,176908470,348236,245.33333333333334,328996230.00000006,964.25,55.53,48.07
12033,81385200.00000001,309574,141.75,132611700.00000001,1965.5625,46.8,21.62
12039,10445100,46153,19.2,14514360,114,43.89,31.8
12041,3315570,17033,12,6610050,49.57142857142857,40.7,22.42
12053,37191660,176797,136.5,60911250.00000001,1195.5,54.32,40.67
12057,431994240.00000006,1323059,407.6666666666667,775299480.0000001,2646.7916666666665,54.32,40.67
12065,5012760,14082,14.5,5664330.000000001,84,43.89,31.8
12069,83722860,317586,48.08,145002630,293.52,49.29,40.2
12071,198635610.00000003,680970,181,432030870.00000006,1039.125,59.25,40.2
