year_range,fips_st,fips_cnty,deaths,exp_tot,exp_correction,exp_police,exp_welfare,rev_tot,rev_fines,rev_gen_ownsource,rev_int_gov,rev_prop_tax,rev_tax,pop_tot,pop_pct_men_15_34,pop_wht,pop_blk,pop_ami,pop_api,pop_lat,pop_pct_pov,pop_pct_deep_pov,pop_med_income,pop_pc_income,violent.yr,property.yr,murder.yr,ft_sworn,cbsa,metroname,dissim_bw,dissim_wl
2012-2016,22,115,0,58074090.00000001,4426680,9748020,126540,58861080,2610720.0000000005,39915600.00000001,13318890.000000002,9735810.000000002,29676960.000000004,52101,0.19903648682366942,36668,7476,649,1113,4766,0.14497194476501254,0.059373632058577736,51682.71000000001,24749.670000000002,227.25,526.75,1.375,46,NA,NA,NA,NA
2012-2016,22,117,0,86853060.00000001,2765010,8457090,76590,88403730.00000001,509490.00000000006,67907580,13756230.000000002,13795080.000000002,32960340.000000004,46367,0.12263031897685854,30536,13821,124,103,940,0.26434610541464293,0.09174311926605505,34424.43,19932.27,232.83333333333334,515.25,1.4166666666666665,34.666666666666664,NA,NA,NA,NA
2012-2016,22,119,1,84901680.00000001,9121980.000000002,9324e3,203130.00000000003,87186060.00000001,1839270.0000000002,46504560.00000001,17832150,15131520,34849560.00000001,40335,0.12569728523614726,25185,13895,189,126,703,0.24659729819116188,0.0931386267077111,35431.200000000004,21658.320000000003,104.71428571428571,179.14285714285714,0.3571428571428571,25.571428571428573,NA,NA,NA,NA
2012-2016,22,121,2,93741720,14905080.000000002,11603940,772560.0000000001,88056300,852480,56707680.00000001,21247620.000000004,18191790,34418880.00000001,25017,0.14801934684414597,14308,9518,69,155,712,0.20297905608361108,0.09328066493848496,59809.020000000004,30241.950000000004,94.5,148.5625,0.375,53.5,12940,"Baton Rouge, LA Metropolitan Statistical Area",57.15,32.73
2012-2016,22,123,0,26432430.000000004,675990,1976910,1078920,29224080,251970.00000000003,20690400,6963030.000000001,3958260,10297470.000000002,11370,0.1337730870712401,9094,1817,31,5,343,0.24016192807380907,0.07663340237243457,40703.700000000004,23819.49,92.83333333333333,223.66666666666666,0,13.333333333333334,NA,NA,NA,NA
2012-2016,22,125,0,48812250.00000001,2296590,4616490.000000001,109890.00000000001,50235270.00000001,342990,36018390.00000001,8619150.000000002,12323220.000000002,16898640.000000004,15384,0.17836713468538742,7984,7004,45,19,241,0.1557968079073159,0.06675848659159038,59234.04000000001,24791.850000000002,69.5,82,0,29,12940,"Baton Rouge, LA Metropolitan Statistical Area",57.15,32.73
2012-2016,22,127,0,26807610,702630.0000000001,3072480.0000000005,0,24829590.000000004,469530.00000000006,10895760,5233650.000000001,3762900.0000000005,7890990.000000001,14695,0.14229329703980945,9593,4605,137,0,273,0.2561154410062505,0.12771047148699746,35589.93,20377.38,54.125,159.375,0.5,18,NA,NA,NA,NA
2012-2016,23,001,0,262622670.00000003,4758570.000000001,15145950,1567320.0000000002,284256570,244200.00000000003,159951e3,118261620.00000001,133095660,134139060,107376,0.12312807331247207,98055,1884,147,834,1861,0.14775294400384523,0.05938956981494833,54088.08,28624.680000000004,167.46428571428572,357.75,0.07142857142857142,26,30340,"Lewiston-Auburn, ME Metropolitan Statistical Area",53.38,23.95
2012-2016,23,013,0,58463700.00000001,4087020.0000000005,6302580.000000001,198690.00000000003,59473800,0,50880180.00000001,8393820.000000002,35179230,35676510,39717,0.10647833421456807,38006,247,195,259,493,0.11883064620816783,0.05392424124412597,57985.29000000001,31538.430000000004,43.550000000000004,134,0,11.4,NA,NA,NA,NA
2012-2016,23,015,0,31713810,7770.000000000001,4348980.000000001,301920,35327970,5550.000000000001,31470720,3345540.0000000005,25300230.000000004,25454520,34165,0.10021952290355628,32816,51,159,517,352,0.12053930176493348,0.04732283698919611,59401.65000000001,33324.420000000006,52.2,91.85,0.15000000000000002,10,NA,NA,NA,NA
2012-2016,23,021,0,27347070.000000004,975690,2039070.0000000002,129870,25969560,0,18245070.000000004,7482510,15278040,15382380.000000002,17044,0.09305327387937104,16284,88,94,64,210,0.20631881282910483,0.07036859741503111,41001.18,24861.780000000002,18.9,59,0,4.8,NA,NA,NA,NA
2012-2016,23,027,0,32898180,2253300,3772890.0000000005,385170,34726350.00000001,1110,30146490,4579860.000000001,23732910.000000004,23867220,39071,0.11054234598551355,37486,232,75,284,446,0.15995487577721226,0.05525093790172364,50482.8,28049.7,53.714285714285715,124.5,0.07142857142857142,9,NA,NA,NA,NA
2012-2016,23,031,1,382467150,11762670.000000002,37112850.00000001,1921410,372685830,447330.00000000006,295987050.00000006,76118250,246256830.00000003,251179680.00000003,200536,0.11428870626720389,190031,1745,697,2203,3122,0.09375285275233546,0.034268528943391253,65636.52,35047.14000000001,149.03125,243.921875,0.203125,20.625,38860,"Portland-South Portland-Biddeford, ME Metropolitan Statistical Area",45.2,23.77
2012-2016,24,001,1,301534830,8632470.000000002,9897870,1770450,317014890,257520.00000000003,145746330.00000003,154595250,62828220.00000001,95001570,73060,0.15784286887489735,63922,6021,118,614,1233,0.17404942821032116,0.07686802393750666,46130.490000000005,24452.190000000002,361.6875,485.75,0.1875,22.5,19060,"Cumberland, MD-WV Metropolitan Statistical Area",51.87,34.66
2012-2016,24,003,3,2543552790,44189100.00000001,128492490,25633230.000000004,2413347570.0000005,3270060.0000000005,1672327110,644963280,724661280,1281018810,559737,0.13954589387515923,393514,89001,1222,20486,39402,0.06106004569194205,0.03045086275296712,102028.98000000001,47044.020000000004,1685.7142857142858,3859.285714285714,3.7857142857142856,287.85714285714283,12580,"Baltimore-Towson, MD Metropolitan Statistical Area",64.31,39.76
2012-2016,24,005,23,3729091620,39167460.00000001,229203900.00000003,13179030,3394968300.0000005,5715390,2064424620,1128069690.0000002,942356700.0000001,1739715210.0000002,825666,0.13180632362238484,491772,226879,2110,48166,40850,0.09300234257196019,0.0450218482718874,76577.79000000001,39712.47,3516.3125,5054.125,5.125,606.75,12580,"Baltimore-Towson, MD Metropolitan Statistical Area",64.31,39.76
2012-2016,24,009,0,439699860.00000006,8655780,16867560,4518810,421994250.00000006,538350,292945650,126031620.00000001,167546730,248682180.00000003,90527,0.12421708440575739,71639,11124,77,1371,3092,0.06029814080732511,0.03366646195075652,107456.88,44285.670000000006,706.5,1369.25,1.75,110,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",64.13,48.15
2012-2016,24,011,0,122305350,3129090,5291370.000000001,147630.00000000003,128486940.00000001,59940.00000000001,59690250.00000001,65947320.00000001,33030270.000000004,47735550,32653,0.12115272716136342,25071,4411,30,203,2101,0.17080387454449186,0.09032298252717476,56421.3,26985.210000000003,72.05,143.5,0.2,12.600000000000001,NA,NA,NA,NA
2012-2016,24,013,2,712490130,8438220.000000002,24660870.000000004,8280600,738211050,400710.00000000006,479202540.00000006,245727360.00000003,247052700,406526400,167535,0.12428447787029576,151109,5538,306,2791,5096,0.057191096157597036,0.02678832650672908,96636.6,42632.880000000005,239.57142857142858,272.0357142857143,0.10714285714285714,21,12580,"Baltimore-Towson, MD Metropolitan Statistical Area",64.31,39.76
2012-2016,24,015,2,411784470.00000006,10509480.000000002,20408460.000000004,5651010,433286280,254190.00000000003,241751340.00000003,184450920,128157270,190792350,102175,0.12461952532419868,87900,6847,245,1409,4087,0.10643215681606254,0.045840525365553636,75411.18000000001,34050.36,285.23809523809524,420.4761904761905,0.7619047619047619,26.047619047619047,48864,"Wilmington, DE-MD-NJ Metropolitan Division",50.26,44.64
