year,race,sex,age,pop
1992,latino,Female,55-59,316303
1992,latino,Female,60-64,286203
1992,latino,Female,65-69,231595
1992,latino,Female,70-74,164475
1992,latino,Female,75-79,123325
1992,latino,Female,80-84,79818
1992,latino,Female,85+,60219
1992,latino,Male,0,281325
1992,latino,Male,1-4,949016
1992,latino,Male,10-14,994682
1992,latino,Male,15-19,1019155
1992,latino,Male,20-24,1195879
1992,latino,Male,25-29,1208244
1992,latino,Male,30-34,1058797
1992,latino,Male,35-39,827433
1992,latino,Male,40-44,638097
1992,latino,Male,45-49,448439
1992,latino,Male,5-9,1051020
1992,latino,Male,50-54,349463
1992,latino,Male,55-59,284349
1992,latino,Male,60-64,246501
1992,latino,Male,65-69,189141
1992,latino,Male,70-74,120572
1992,latino,Male,75-79,79139
1992,latino,Male,80-84,46907
1992,latino,Male,85+,31987
1992,white,Female,0,1274761
1992,white,Female,1-4,4960888
1992,white,Female,10-14,5948627
1992,white,Female,15-19,5778333
1992,white,Female,20-24,6651610
1992,white,Female,25-29,7435687
1992,white,Female,30-34,8232238
1992,white,Female,35-39,7789923
1992,white,Female,40-44,7337683
1992,white,Female,45-49,5657903
1992,white,Female,5-9,6117949
1992,white,Female,50-54,4745918
1992,white,Female,55-59,4362237
1992,white,Female,60-64,4638910
1992,white,Female,65-69,4674964
1992,white,Female,70-74,4058931
1992,white,Female,75-79,3309966
1992,white,Female,80-84,2330444
1992,white,Female,85+,2053410
1992,white,Male,0,1344153
1992,white,Male,1-4,5233840
1992,white,Male,10-14,6294765
1992,white,Male,15-19,6080607
1992,white,Male,20-24,6803343
1992,white,Male,25-29,7505110
1992,white,Male,30-34,8287716
1992,white,Male,35-39,7806357
1992,white,Male,40-44,7306272
1992,white,Male,45-49,5552385
1992,white,Male,5-9,6463168
1992,white,Male,50-54,4578896
1992,white,Male,55-59,4094216
1992,white,Male,60-64,4159467
1992,white,Male,65-69,3840786
1992,white,Male,70-74,3085841
1992,white,Male,75-79,2173737
1992,white,Male,80-84,1232663
1992,white,Male,85+,765771
1993,amind,Female,0,20730
1993,amind,Female,1-4,90684
1993,amind,Female,10-14,108700
1993,amind,Female,15-19,93526
1993,amind,Female,20-24,91091
1993,amind,Female,25-29,91834
1993,amind,Female,30-34,97165
1993,amind,Female,35-39,90022
